DATAFLOW,LAST UPDATE,freq,incgrp,hhtyp,tenure,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,HR,2018,6.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,HU,2018,15.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,IE,2018,32.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,IS,2018,57.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,IT,2018,13.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,LT,2018,12.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,LU,2018,41.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,LV,2018,12.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,ME,2018,1.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,MK,2018,0.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,MT,2018,22.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,NL,2018,60.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,NO,2018,60.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,PL,2018,11.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,PT,2018,36.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,RO,2018,1.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,RS,2018,0.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,SE,2018,51.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,SI,2018,12.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,SK,2018,18.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,TR,2018,8.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,UK,2018,37.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,XK,2018,4.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,AL,2018,95.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,AT,2018,29.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,BE,2018,28.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,BG,2018,80.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,CH,2018,4.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,CY,2018,50.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,CZ,2018,57.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,DE,2018,25.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,DK,2018,14.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,EA20,2018,39.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,EE,2018,60.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,EL,2018,59.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,ES,2018,46.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,FI,2018,29.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,FR,2018,33.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,HR,2018,83.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,HU,2018,70.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,IE,2018,37.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,IS,2018,16.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,IT,2018,59.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,LT,2018,77.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,LU,2018,29.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,LV,2018,69.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,ME,2018,88.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,MK,2018,88.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,MT,2018,58.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,NL,2018,8.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,NO,2018,21.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,PL,2018,72.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,PT,2018,38.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,RO,2018,95.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,RS,2018,84.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,SE,2018,12.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,SI,2018,63.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,SK,2018,72.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,TR,2018,50.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,UK,2018,27.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_NL,PC,XK,2018,93.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,AL,2018,1.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,AT,2018,14.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,BE,2018,8.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,BG,2018,13.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,CH,2018,6.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,CY,2018,14.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,CZ,2018,5.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,DE,2018,7.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,DK,2018,0.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,EA20,2018,9.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,EE,2018,13.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,EL,2018,5.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,ES,2018,8.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,FI,2018,14.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,FR,2018,16.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,HR,2018,8.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,HU,2018,9.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,IE,2018,17.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,IS,2018,12.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,IT,2018,8.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,LT,2018,8.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,LU,2018,5.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,LV,2018,10.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,ME,2018,5.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,MK,2018,11.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,MT,2018,11.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,NL,2018,1.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,NO,2018,2.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,PL,2018,11.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,PT,2018,12.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,RO,2018,2.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,RS,2018,12.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,SE,2018,0.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,SI,2018,18.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,SK,2018,1.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,TR,2018,15.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,UK,2018,5.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_FR,PC,XK,2018,1.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,AL,2018,2.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,AT,2018,29.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,BE,2018,19.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,BG,2018,2.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,CH,2018,51.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,CY,2018,14.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,CZ,2018,15.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,DE,2018,40.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,DK,2018,39.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,EA20,2018,23.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,EE,2018,4.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,EL,2018,21.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,ES,2018,15.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,FI,2018,13.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,FR,2018,18.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,HR,2018,1.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,HU,2018,4.9,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,IE,2018,12.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,IS,2018,14.1,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,IT,2018,18.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,LT,2018,1.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,LU,2018,23.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,LV,2018,7.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,ME,2018,4.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,MK,2018,0.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,MT,2018,6.8,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,NL,2018,30.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,NO,2018,16.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,PL,2018,4.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,PT,2018,12.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,RO,2018,1.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,RS,2018,3.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,SE,2018,35.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,SI,2018,6.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,SK,2018,7.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,TR,2018,25.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,UK,2018,29.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,RENT_MKT,PC,XK,2018,0.5,
